CompanyName / Deploying Entity* [EMPLOYER],Year,Ommitted?,AEDTVendor,AuditProvider,Date of Audit,Date Captured,Female_nApplicants,Female_nSelected,Female_SelectionRate,Female_ImpactRatio,Male_nApplicants,Male_nSelected,Male_SelectionRate,Male_ImpactRatio,Asian_nApplicants,Asian_nSelected,Asian_SelectionRate,Asian_ImpactRatio,Black_nApplicants,Black_nSelected,Black_SelectionRate,Black_ImpactRatio,Hispanic_nApplicants,Hispanic_nSelected,Hispanic_SelectionRate,Hispanic_ImpactRatio,MultiRace_nApplicants,MultiRace_nSelected,MultiRace_SelectionRate,MultiRace_ImpactRatio,White_nApplicants,White_nSelected,White_SelectionRate,White_ImpactRatio,Native_nApplicants,Native_nSelected,Native_SelectionRate,Native_ImpactRatio,PacificIslander_nApplicants,PacificIslander_nSelected,PacificIslander_SelectionRate,PacificIslander_ImpactRatio,Asian_Female_nApplicants,Asian_Female_nSelected,Asian_Female_SelectionRate,Asian_Female_ImpactRatio,Black_Female_nApplicants,Black_Female_nSelected,Black_Female_SelectionRate,Black_Female_ImpactRatio,Hispanic_Female_nApplicants,Hispanic_Female_nSelected,Hispanic_Female_SelectionRate,Hispanic_Female_ImpactRatio,MultiRace_Female_nApplicants,MultiRace_Female_nSelected,MultiRace_Female_SelectionRate,MultiRace_Female_ImpactRatio,White_Female_nApplicants,White_Female_nSelected,White_Female_SelectionRate,White_Female_ImpactRatio,Native_Female_nApplicants,Native_Female_nSelected,Native_Female_SelectionRate,Native_Female_ImpactRatio,PacificIslander_Female_nApplicants,PacificIslander_Female_nSelected,PacificIslander_Female_SelectionRate,PacificIslander_Female_ImpactRatio,Asian_Male_nApplicants,Asian_Male_nSelected,Asian_Male_SelectionRate,Asian_Male_ImpactRatio,Black_Male_nApplicants,Black_Male_nSelected,Black_Male_SelectionRate,Black_Male_ImpactRatio,Hispanic_Male_nApplicants,Hispanic_Male_nSelected,Hispanic_Male_SelectionRate,Hispanic_Male_ImpactRatio,MultiRace_Male_nApplicants,MultiRace_Male_nSelected,MultiRace_Male_SelectionRate,MultiRace_Male_ImpactRatio,White_Male_nApplicants,White_Male_nSelected,White_Male_SelectionRate,White_Male_ImpactRatio,Native_Male_nApplicants,Native_Male_nSelected,Native_Male_SelectionRate,Native_Male_ImpactRatio,PacificIslander_Male_nApplicants,PacificIslander_Male_nSelected,PacificIslander_Male_SelectionRate,PacificIslander_Male_ImpactRatio
ADP ,2023,N,ADP Profile Relevance and Candidate Relevancy [Selection Classified as High],"BLDS, LLC",04/2023,Capture from 11/06/23,"965,033","403,384",41.80%,1,"753,234","313,345",41.60%,0.996,"112,345","44,841",39.90%,0.926,"382,898","161,410",42.20%,0.978,"276,856","116,809",42.20%,0.979,"52,340","22,564",43.10%,1,"583,157","247,424",42.40%,0.984,"4,940","2,259",45.70%,NA,"3,151","1,599",50.70%,NA,"47,381","19,022",40.10%,0.871,"222,814","95,186",42.70%,0.927,"144,144","61,157",42.40%,0.92,"29,177","13,044",44.70%,0.97,"312,614","131,826",42.20%,0.915,"2,606","1,173",45.00%,NA,"1,567",780,49.80%,NA,"54,302","21,990",40.50%,0.878,"141,863","61,071",43%,0.934,"114,492","49,013",42.80%,0.929,"15,126","6,974",46.10%,1,"252,595","105,942",41.90%,0.91,"1,257",602,47.90%,NA,831,469,56.40%,NA
ADP ,2024,N,ADP Profile Relevance and Candidate Relevancy [Selection Classified as High],"BLDS, LLC",4/1/2024,Capture from 7/31/24,"5,633,755","2,285,051",40.60%,1,"4,667,322","1,874,397",40.20%,0.99,"692,402","268,583",38.80%,0.934,"2,374,766","969,379",40.80%,0.983,"1,646,306","678,113",41.20%,0.992,"371,327","154,249",41.50%,1,"3,587,705","1,470,600",41.00%,0.987,"44,790","20,129",44.90%,NA,"26,195","12,309",47.00%,NA,"302,583","118,824",39.30%,0.926,"946,081","384,014",40.60%,0.957,"861,334","356,765",41.40%,0.977,"207,645","88,041",42.40%,1,"1,885,642","770,850",40.90%,0.964,"22,379","10,263",45.90%,NA,"12,875","6,314",49.00%,NA,"357,504","136,710",38.20%,0.902,"946,081","384,014",40.60%,0.957,"730,545","299,231",41.00%,0.966,"133,167","56,023",42.10%,0.992,"1,637,864","661,369",40.40%,0.952,"15,442","7,505",48.60%,NA,"8,963","4,647",51.90%,NA
Beamery,2024,N,AI Talent Match,Warden AI,09/17/2024,"Capture of Beamery AI Assurance Dashboard from 10/29/24
Capture of Beamery AI Assurance Dashboard Results from 10/29/24
Capture of Beamery Bias Audit Report from 10/29/24","2,828","1,424",TBC,1,"2,632","1,306",TBC,0.99,"1,312",653,TBC,0.97,"1,284",662,TBC,1,"1,324",667,TBC,0.98,NA,NA,NA,NA,"1,540",748,TBC,0.94,NA,NA,NA,NA,NA,NA,NA,NA,616,309,TBC,0.92,752,385,TBC,0.94,680,370,TBC,1,NA,NA,NA,NA,780,360,TBC,0.85,NA,NA,NA,NA,NA,NA,NA,NA,696,344,TBC,0.91,532,277,TBC,0.96,644,297,TBC,0.85,NA,NA,NA,NA,760,388,TBC,0.94,NA,NA,NA,NA,NA,NA,NA,NA
Bloomberg,2023,N,PLUM Assessment,"Resolution Economics, LLC",7/3/2023,Capture from 11/03/23,"2,793","2,440",87%,1,"5,187","4,425",85%,0.98,"3,543","3,162",89%,1,678,542,80%,0.9,937,759,81%,0.91,264,235,89%,1,"2,274","1,934",85%,0.94, 11 ,TBC,91%,NA,11,TBC,91%,NA,"1,531","1,396",91%,1,250,189,76%,0.83,290,237,82%,0.9,59,TBC,92%,NA,582,492,85%,0.93,1,1,100%,NA,3,3,100%,NA,"1,996","1,751",88%,0.96,425,350,82%,0.9,645,520,81%,0.88,200,177,89%,0.97,"1,682","1,432",85%,0.93,10,TBC,90%,NA,8,TBC,88%,NA
BNP Paribas,2023,N,pymetrics inc. (Harver) Soft Skills Platform,BABL AI,6/29/23,Capture from 1/03/24,"250,692",TBC,0.547,0.975,"197,821",TBC,0.561,1,"167,715",TBC,0.508,0.917,"55,127",TBC,0.507,0.915,"48,690",TBC,0.538,0.971,"8,693",TBC,0.533,NA,"161,030",TBC,0.554,1,"1,376",TBC,0.566,NA,695,TBC,0.537,NA,"67,930",TBC,0.521,0.871,"28,048",TBC,0.563,0.942,"20,671",TBC,0.57,0.953,"3,960",TBC,0.583,NA,"64,384",TBC,0.598,1,729,TBC,0.667,NA,349,TBC,0.639,NA,"94,994",TBC,0.524,0.877,"22,893",TBC,0.53,0.887,"26,388",TBC,0.546,0.914,"4,025",TBC,0.578,NA,"88,360",TBC,0.574,0.96,498,TBC,0.588,NA,258,TBC,0.581,NA
Burlington,2023,N,"HireVue (various assessments for Intern or new college graduate jobs) [Selection Rate for Top Tier v Bottom, Middle Tier]",DCI Consulting Group,7/5/2023,Capture from 4/24/24,3871,TBC,0.35,1,6902,TBC,0.34,0.99,4624,TBC,0.32,0.8,1125,TBC,0.35,0.91,975,TBC,0.39,1,310,TBC,0.38,0.92,3769,TBC,0.34,0.88,0,TBC,NA,NA,0,TBC,NA,NA,1665,TBC,0.34,0.87,329,TBC,0.36,0.96,233,TBC,0.38,1,52,TBC,0.44,1.27,1200,TBC,0.32,0.82,0,TBC,NA,NA,0,TBC,NA,NA,2880,TBC,0.29,0.75,700,TBC,0.34,0.9,681,TBC,0.39,1,118,TBC,0.44,1.05,2442,TBC,0.35,0.92,0,TBC,NA,NA,0,TBC,NA,NA
Burlington,2024,N,"HireVue (various assessments for Intern or new college graduate jobs) [Selection Rate for Top Tier v Bottom, Middle Tier]",DCI Consulting Group,7/5/2024,Capture from 10/1/24,2491,TBC,0.53,1,2061,TBC,0.5,0.95,747,TBC,0.47,0.79,680,TBC,0.54,0.93,687,TBC,0.55,1,167,TBC,0.46,0.77,2206,TBC,0.49,0.92,0,TBC,NA,NA,0,TBC,NA,NA,381,TBC,0.56,1,377,TBC,0.54,1.06,311,TBC,0.56,1.03,56,TBC,0.52,0.95,1182,TBC,0.53,1,0,TBC,NA,NA,0,TBC,NA,NA,323,TBC,0.38,0.74,221,TBC,0.54,1.02,232,TBC,0.58,1.04,17,TBC,0.47,0.86,736,TBC,0.54,1,0,TBC,NA,NA,0,TBC,NA,NA
Burlington,2023,N,HireVue assessment used for Allocation Analyst role,DCI Consulting Group,11/1/2023,Capture from 4/24/24,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,
Burlington,2023,N,HireVue assessment used for Intern role,DCI Consulting Group,11/1/2023,Capture from 4/24/24,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,,,TBC,,
Cigna,2023,N,Unknown,Unknown,10/18/23,Capture from 10/16/24,"80,000","30,000","37.5%",0.535714286,"100,000","70,000","70%",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
